task: 4461,1936 | cost: 47.277850502723595
task: 2343,2350,3781,2859,4943,2987,2375,2445,3247,3695 | cost: 346.8683150022116
task: 2592,3655,4206,503 | cost: 265.13130250168615
task: 3224,1854,3685,2150 | cost: 620.9097659993859
task: 2396,1958,1039,592 | cost: 659.4936445035273
task: 4911,1658,1370,3225,4987,1721,4915,4259,4279,1822 | cost: 856.0634839996055
task: 1853,1176,5127,3007,2833,1158,2281 | cost: 659.9877470034698
task: 832 | cost: 14.163409497996327
task: 1659,653,2504,4720,3821,5113,556,4828,3828,1062,2082,4073 | cost: 967.0130714948755
task: 3170,1535,4921,3534,3161,2056,3805,4017 | cost: 1000.3860944998451
task: 2171,714,4210,4454,1590,1240,1449,3413,2013 | cost: 928.426208000019
task: 4072,3435,3134,3580,3366,2324,1931,4941,2680,4951,3847,5108,3312,4267,3771 | cost: 975.0269904980087
task: 1080,2647,893,1985 | cost: 504.2384035004943
task: 1042,1654,4500,2419 | cost: 1135.2157995024754
task: 3825 | cost: 73.52787100171554
task: 649 | cost: 47.35503749907366
task: 4502,4888,4241,3574,3752,668,1041,2502,1846,954,4688 | cost: 1472.201734501141
task: 3540,637,2479,5022,4269,4750,2227,1314,3929,3828,2038 | cost: 869.0441310027381
task: 2127,2400,3927 | cost: 1269.7482895018766
task: 3428,3513,1358,2294,4696,1895,3318,517,2464,570,2255 | cost: 1608.866118502192
task: 4004,2076,3408,4324,4343,3003,794 | cost: 2427.462697502051
task: 712,3650,1937,3467,4420,3105,3177 | cost: 2354.294023003604
task: 2057,4505,3393,2562,4432 | cost: 163.00306000266573
task: 1530,5107,3363,2714,3025,922,4571,4703,4141,3446,2304,3756 | cost: 2599.9673744991014
task: 1412,3363,3522,2482,2867,4389,3204 | cost: 339.1899505004403
task: 4724,4274,1768,2541,3568,4832,4485,2615,2488,4431,4231,3402,3205,4244 | cost: 1331.45462450193
task: 1498,3441,4867,861,4549,497,2750,3552,2379,3230,3202,3212,2357,3867,4299 | cost: 2314.5912015024805
task: 4036 | cost: 219.13210999628063
task: 1330,3686,190,4985,3441,4672,3509,2145,2381,2918 | cost: 1399.0056880029442
task: 2805,4963,919,4314,3361,2639,4203,3792,4765,106 | cost: 2306.3360634987475
task: 3719,555 | cost: 52.09381800159463
task: 3292,1803,1164,2000,4782,4955,4307 | cost: 2635.116702000232
task: 4058,4248,3138,2629,3057,1529,3039,3937,4110 | cost: 1457.6759379997384
task: 907,3134,731,2780,4033,3312,3696,3255,3285,4897 | cost: 4149.498855498678
task: 1936 | cost: 10.000759499234846
task: 194,3659,659,4594,3266,2405,1095,3877,966 | cost: 3280.759911500354
task: 4448,1272,4024,2658,184,582,3407,2991,3101,1371 | cost: 2148.580459495861
task: 4731,116,3913,731,4599,3153,1016 | cost: 3119.25288600105
task: 677,4791,2891,611,2759,4485,1659,4607,5077,4596,3992,2386,4996,3704 | cost: 1518.7639104988193
task: 3983,2231,137,676,3974,3186,3641,3071,1713,4013,1781,1979 | cost: 1461.421618998429
task: 2426,3057,3595,953,2831,2114,4148,4083,3283,3009,84 | cost: 1562.4573430031887
task: 3834,4527,1947,4406,2135,2833,2928,4563,3146,1616,594,2580,3833,1243,3722 | cost: 2048.1164075026754
task: 2015 | cost: 862.1976385038579
task: 1965,2970,2710,4616,4856,2096,2944,5013,568,4721,4435,1604,1023,4505 | cost: 753.2683464996808
task: 2473,570,3038,2245,1390,4773,1848,640,4892,4934,4831,4609 | cost: 851.4603869989514
task: 3007,1004,2848,3463,4447,4537,5018,1445,3474,3388,4022 | cost: 1403.5843669989845
task: 2041,1864,3654,3297,1936,2217 | cost: 160.84574949854868
task: 909,1345 | cost: 1228.9223314983246
task: 880,3397,4722,15,2931,2412,4950 | cost: 2220.5426684959093
task: 4869,3581,4586,3404,2911,944,4885,4256,3124,4384 | cost: 2105.531590503233
task: 575,3802,2270,2410,4827,1008,4633,4876,1084,3541,3877,3591 | cost: 2355.128223000065
